,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1695,KCAPL,"KCAP Financial, Inc.",25.2007,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kcapl,
1696,KRNY,Kearny Financial,14.55,$1.18B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/krny,
1697,KELYA,"Kelly Services, Inc.",30,$1.15B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelya,
1698,KELYB,"Kelly Services, Inc.",28,$1.08B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelyb,
1699,KMPH,"KemPharm, Inc.",3.768,$55.23M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmph,
1700,KFFB,Kentucky First Federal Bancorp,9,$76M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/kffb,
1701,KERX,"Keryx Biopharmaceuticals, Inc.",4.75,$566.31M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kerx,
1702,KEQU,Kewaunee Scientific Corporation,29.4,$79.79M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kequ,
1703,KTEC,"Key Technology, Inc.",17.64,$114.43M,1993,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ktec,
1704,KTCC,Key Tronic Corporation,7.74,$83.28M,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ktcc,
1705,KFRC,"Kforce, Inc.",25.325,$670.28M,1995,Technology,Professional Services,http://www.nasdaq.com/symbol/kfrc,
1706,KE,"Kimball Electronics, Inc.",20.2,$542.15M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/ke,
1707,KBAL,"Kimball International, Inc.",18.06,$676.84M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/kbal,
1708,KIN,"Kindred Biosciences, Inc.",7.3,$205.56M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kin,
1709,KGJI,Kingold Jewelry Inc.,2.21,$146.11M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/kgji,
